Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY,AVGO,V,JPM,WMT,XOM,UNH,MA,PG,HD,ORCL,COST,MRK,ABBV,PEP,CVX
2020-08-19,112.55072784423828,201.3961944580078,76.91928100585938,76.77008056640625,163.0240020751953,12.09862232208252,261.1572265625,125.23533630371094,207.2100067138672,143.9923858642578,29.206087112426758,193.92405700683594,86.17504119873047,41.170623779296875,33.77931213378906,292.2569580078125,323.1703796386719,119.9761734008789,250.7771759033203,52.29949951171875,314.1589660644531,69.45001983642578,78.57869720458984,117.56059265136719,70.38182067871094
2020-08-20,115.04820251464844,206.08299255371094,78.62017059326172,78.3426513671875,164.86849975585938,12.101110458374023,267.542236328125,133.45533752441406,206.1199951171875,143.09414672851562,29.172372817993164,196.97296142578125,85.14319610595703,40.598506927490234,33.264095306396484,290.33892822265625,327.9537353515625,120.93055725097656,248.84457397460938,51.42473602294922,314.1313171386719,69.45001983642578,77.8427734375,117.79322052001953,69.0946044921875
2020-08-21,120.9769058227539,204.58473205566406,78.55406188964844,78.3088607788086,164.23599243164062,12.641830444335938,265.55316162109375,136.6653289794922,207.42999267578125,141.12745666503906,29.277944564819336,196.9536590576172,85.09949493408203,40.928104400634766,33.0145263671875,291.0894470214844,327.7398681640625,121.45191955566406,251.10525512695312,51.35960006713867,317.577880859375,69.40919494628906,77.56476593017578,117.56920623779297,69.31458282470703
2020-08-24,122.42382049560547,205.22824096679688,78.9407730102539,78.78499603271484,165.3730010986328,12.678462028503418,269.9092712402344,134.27999877929688,212.61000061035156,141.373291015625,29.63103675842285,199.15350341796875,87.49542999267578,40.83482360839844,33.988624572753906,286.1784362792969,334.09820556640625,122.3974609375,254.22607421875,52.1226921081543,317.1355895996094,69.76856231689453,77.27859497070312,118.58586120605469,71.04174041748047
2020-08-25,121.41947937011719,207.89813232421875,79.93585968017578,79.81382751464844,167.32449340820312,12.708110809326172,279.2878112792969,134.8893280029297,213.35000610351562,141.52456665039062,29.820878982543945,200.78411865234375,87.88018798828125,40.61716842651367,32.90987777709961,289.3103332519531,338.0066833496094,122.88346862792969,253.67640686035156,52.1971321105957,317.6700134277344,69.98091888427734,76.91063690185547,118.29291534423828,70.17000579833984
2020-08-26,123.07068634033203,212.39280700683594,82.13080596923828,81.71641540527344,172.09249877929688,12.731036186218262,302.2518310546875,143.54466247558594,214.66000366210938,141.12745666503906,30.134056091308594,202.86814880371094,86.64722442626953,40.63892364501953,32.20948791503906,286.1598205566406,341.2732849121094,122.29138946533203,258.81854248046875,53.49997329711914,317.2645263671875,69.86658477783203,77.14777374267578,119.30094909667969,69.07014465332031
2020-08-27,121.59945678710938,217.60780334472656,81.23363494873047,80.9405746459961,170.0,12.586762428283691,291.6201477050781,149.25,216.8699951171875,140.85325622558594,30.08704376220703,203.61109924316406,89.49787139892578,42.48277282714844,31.99213409423828,288.80072021484375,346.11505126953125,122.1323471069336,255.8928680419922,53.21148681640625,319.1905822753906,70.09527587890625,77.10687255859375,119.24065399169922,69.17607879638672
2020-08-28,121.40247344970703,219.8455047607422,81.73465728759766,81.48281860351562,170.08999633789062,13.104557991027832,292.0577697753906,147.55999755859375,218.5500030517578,139.31204223632812,30.59093475341797,208.12655639648438,89.8651351928711,43.62389373779297,32.756919860839844,291.3025207519531,355.95404052734375,122.62720489501953,253.81820678710938,53.862892150878906,321.04290771484375,69.95641326904297,77.0005874633789,120.56744384765625,69.76264953613281
2020-08-31,125.51950073242188,216.59938049316406,81.2261734008789,80.99076843261719,172.54800415039062,13.330561637878418,291.60028076171875,166.10667419433594,218.0399932861328,140.3048553466797,30.797637939453125,204.53736877441406,87.60910034179688,43.173038482666016,32.153141021728516,289.6160583496094,348.2442321777344,122.2383804321289,252.71006774902344,53.24870681762695,320.388671875,69.64604187011719,78.3088607788086,120.67082214355469,68.37767791748047
2020-09-01,130.519287109375,218.27047729492188,82.54484558105469,82.26065063476562,174.95599365234375,13.779716491699219,293.8280334472656,158.35000610351562,218.5500030517578,139.27423095703125,31.896831512451172,205.8495635986328,87.56538391113281,45.89059066772461,31.742568969726562,289.8756103515625,346.9900207519531,122.10585021972656,253.5079803466797,53.658164978027344,323.81683349609375,68.9599609375,75.42245483398438,119.9212875366211,67.68519592285156
2020-09-02,127.81509399414062,222.4770050048828,85.90337371826172,85.35758972167969,176.57249450683594,14.3036470413208,300.8495178222656,149.1233367919922,221.67999267578125,141.4016571044922,33.269264221191406,208.8695526123047,88.88577270507812,45.918575286865234,31.54935646057129,296.7418212890625,350.6845703125,124.16481018066406,255.96775817871094,54.93309020996094,330.7100830078125,71.00188446044922,76.82069396972656,123.45369720458984,67.77481079101562
2020-09-03,117.58211517333984,208.69525146484375,81.60691833496094,80.98977661132812,168.39999389648438,12.9766206741333,289.5316162109375,135.6666717529297,218.14999389648438,140.90054321289062,31.235898971557617,201.6138916015625,88.60596466064453,44.94224548339844,31.484962463378906,293.0260925292969,334.29266357421875,122.17652130126953,244.76473999023438,53.13702392578125,320.97845458984375,69.82573699951172,75.11994934082031,120.9397964477539,67.03340911865234
2020-09-04,117.6599349975586,205.76602172851562,79.0819320678711,78.58917236328125,164.7310028076172,12.584797859191895,281.1874084472656,139.44000244140625,218.32000732421875,142.6875762939453,32.1993522644043,197.4650421142578,90.52094268798828,44.410552978515625,31.4608097076416,289.1065368652344,325.70782470703125,121.91143798828125,240.33523559570312,51.862125396728516,319.3841857910156,69.62155151367188,75.11994934082031,120.41046142578125,66.74827575683594
