Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY,AVGO,V,JPM,WMT,XOM,UNH,MA,PG,HD,ORCL,COST,MRK,ABBV,PEP,CVX
2020-08-19,112.55072784423828,201.39620971679688,76.91928100585938,76.77007293701172,163.0240020751953,12.098620414733887,261.1572570800781,125.23533630371094,207.2100067138672,143.99234008789062,29.206087112426758,193.92405700683594,86.17504119873047,41.170623779296875,33.77931213378906,292.2569580078125,323.17034912109375,119.9761734008789,250.77719116210938,52.299495697021484,314.1589050292969,69.45001220703125,78.57869720458984,117.56058502197266,70.3818359375
2020-08-20,115.04821014404297,206.08299255371094,78.62016296386719,78.3426513671875,164.86849975585938,12.10111141204834,267.5422668457031,133.45533752441406,206.1199951171875,143.09414672851562,29.172372817993164,196.9729766845703,85.14322662353516,40.5985107421875,33.26409149169922,290.3388977050781,327.9537048339844,120.9305648803711,248.84457397460938,51.42473602294922,314.13128662109375,69.45001220703125,77.84278869628906,117.793212890625,69.09461212158203
2020-08-21,120.9769058227539,204.584716796875,78.5540542602539,78.3088607788086,164.23599243164062,12.64183235168457,265.5531921386719,136.6653289794922,207.42999267578125,141.12744140625,29.277944564819336,196.95367431640625,85.09949493408203,40.9281005859375,33.014522552490234,291.08941650390625,327.7398986816406,121.45191955566406,251.1053009033203,51.359596252441406,317.57794189453125,69.40919494628906,77.56478118896484,117.5692138671875,69.31458282470703
2020-08-24,122.42382049560547,205.22824096679688,78.9407730102539,78.78498840332031,165.3730010986328,12.67845630645752,269.9092712402344,134.27999877929688,212.61000061035156,141.373291015625,29.631044387817383,199.15350341796875,87.49540710449219,40.83481216430664,33.988624572753906,286.1783752441406,334.0982971191406,122.3974380493164,254.22608947753906,52.12268829345703,317.13555908203125,69.76856231689453,77.2785873413086,118.58585357666016,71.0417251586914
2020-08-25,121.41949462890625,207.89813232421875,79.93585205078125,79.81383514404297,167.32449340820312,12.708113670349121,279.2878112792969,134.8893280029297,213.35000610351562,141.52456665039062,29.820884704589844,200.78408813476562,87.88019561767578,40.617164611816406,32.90987777709961,289.3103942871094,338.0066223144531,122.88350677490234,253.67637634277344,52.19713592529297,317.6700134277344,69.9809341430664,76.9106216430664,118.29291534423828,70.16999053955078
2020-08-26,123.07068634033203,212.39280700683594,82.13080596923828,81.71642303466797,172.09249877929688,12.731037139892578,302.2518310546875,143.54466247558594,214.66000366210938,141.12744140625,30.134050369262695,202.8681640625,86.64722442626953,40.638919830322266,32.20949172973633,286.1598205566406,341.2733154296875,122.29141998291016,258.8184509277344,53.499977111816406,317.2645263671875,69.86656951904297,77.14776611328125,119.30091857910156,69.07017517089844
2020-08-27,121.59944152832031,217.6077880859375,81.23363494873047,80.94056701660156,170.0,12.586762428283691,291.62017822265625,149.25,216.8699951171875,140.85325622558594,30.087038040161133,203.61109924316406,89.49787902832031,42.482765197753906,31.992136001586914,288.8007507324219,346.1151123046875,122.13236236572266,255.8927764892578,53.21147918701172,319.19061279296875,70.09526062011719,77.10688781738281,119.24064636230469,69.17607879638672
2020-08-28,121.4024658203125,219.84556579589844,81.73465728759766,81.48281860351562,170.08999633789062,13.104555130004883,292.0577087402344,147.55999755859375,218.5500030517578,139.31207275390625,30.590938568115234,208.12655639648438,89.8651351928711,43.6238899230957,32.75691223144531,291.3025817871094,355.9540710449219,122.62718963623047,253.81829833984375,53.86290740966797,321.04296875,69.95640563964844,77.00057983398438,120.56744384765625,69.76265716552734
2020-08-31,125.5195083618164,216.59938049316406,81.2261734008789,80.99077606201172,172.54800415039062,13.330558776855469,291.6002502441406,166.10667419433594,218.0399932861328,140.3048553466797,30.79764747619629,204.53733825683594,87.60909271240234,43.173038482666016,32.153141021728516,289.6160583496094,348.2442932128906,122.23838806152344,252.70997619628906,53.248714447021484,320.3886413574219,69.64604949951172,78.3088607788086,120.67082977294922,68.37767028808594
2020-09-01,130.51927185058594,218.2705078125,82.54484558105469,82.26065826416016,174.95599365234375,13.779714584350586,293.82806396484375,158.35000610351562,218.5500030517578,139.27423095703125,31.89682960510254,205.8495330810547,87.56536865234375,45.890594482421875,31.74258041381836,289.8755187988281,346.989990234375,122.1058349609375,253.5079345703125,53.65817642211914,323.8168640136719,68.95996856689453,75.4224624633789,119.92127227783203,67.68517303466797
2020-09-02,127.81512451171875,222.47702026367188,85.90337371826172,85.35758209228516,176.57249450683594,14.3036470413208,300.8495178222656,149.1233367919922,221.67999267578125,141.40167236328125,33.26926803588867,208.86949157714844,88.88578796386719,45.91857147216797,31.54937171936035,296.7418212890625,350.6845703125,124.164794921875,255.96783447265625,54.933082580566406,330.71014404296875,71.00188446044922,76.82070922851562,123.45369720458984,67.7748031616211
2020-09-03,117.5821304321289,208.69528198242188,81.60691833496094,80.98977661132812,168.39999389648438,12.976619720458984,289.5315856933594,135.6666717529297,218.14999389648438,140.90052795410156,31.23590087890625,201.6138916015625,88.60594940185547,44.942237854003906,31.484962463378906,293.0260314941406,334.2926330566406,122.17652130126953,244.7647705078125,53.13703155517578,320.9784240722656,69.82575988769531,75.11992645263672,120.93981170654297,67.03340911865234
2020-09-04,117.65995025634766,205.76600646972656,79.08192443847656,78.58917236328125,164.7310028076172,12.584794998168945,281.1874084472656,139.44000244140625,218.32000732421875,142.6875457763672,32.19935607910156,197.46502685546875,90.52096557617188,44.410552978515625,31.4608097076416,289.1064453125,325.7078857421875,121.91143035888672,240.335205078125,51.862125396728516,319.3841857910156,69.62154388427734,75.11992645263672,120.41047668457031,66.74827575683594
