Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY
2020-08-19,112.55075073242188,201.39620971679688,76.91928100585938,76.77008056640625,163.0240020751953,12.09862232208252,261.15728759765625,125.23533630371094,207.2100067138672,143.99232482910156
2020-08-20,115.04821014404297,206.08297729492188,78.62017059326172,78.3426513671875,164.86849975585938,12.101112365722656,267.5422668457031,133.45533752441406,206.1199951171875,143.09413146972656
2020-08-21,120.97691345214844,204.5847625732422,78.55406188964844,78.30886840820312,164.23599243164062,12.641830444335938,265.55322265625,136.6653289794922,207.42999267578125,141.12744140625
2020-08-24,122.42381286621094,205.22824096679688,78.94076538085938,78.78499603271484,165.3730010986328,12.678461074829102,269.9092712402344,134.27999877929688,212.61000061035156,141.37332153320312
2020-08-25,121.41949462890625,207.89816284179688,79.93584442138672,79.81382751464844,167.32449340820312,12.708113670349121,279.287841796875,134.8893280029297,213.35000610351562,141.52456665039062
2020-08-26,123.07067108154297,212.392822265625,82.13080596923828,81.71642303466797,172.09249877929688,12.731037139892578,302.2518005371094,143.54466247558594,214.66000366210938,141.12744140625
2020-08-27,121.5994644165039,217.6077880859375,81.233642578125,80.94056701660156,170.0,12.586762428283691,291.6201171875,149.25,216.8699951171875,140.85325622558594
2020-08-28,121.40248107910156,219.84552001953125,81.73464965820312,81.48281860351562,170.08999633789062,13.104555130004883,292.0577697753906,147.55999755859375,218.5500030517578,139.31210327148438
2020-08-31,125.51948547363281,216.59938049316406,81.22618103027344,80.99077606201172,172.54800415039062,13.330559730529785,291.60028076171875,166.10667419433594,218.0399932861328,140.3048553466797
2020-09-01,130.51927185058594,218.2704620361328,82.54483795166016,82.26065063476562,174.95599365234375,13.779714584350586,293.8280334472656,158.35000610351562,218.5500030517578,139.27426147460938
2020-09-02,127.81511688232422,222.47705078125,85.90338134765625,85.35757446289062,176.57249450683594,14.303645133972168,300.8495178222656,149.1233367919922,221.67999267578125,141.4016876220703
2020-09-03,117.58211517333984,208.6952667236328,81.60692596435547,80.98978424072266,168.39999389648438,12.976622581481934,289.5316162109375,135.6666717529297,218.14999389648438,140.9005584716797
2020-09-04,117.65995025634766,205.76608276367188,79.08192443847656,78.58916473388672,164.7310028076172,12.584794044494629,281.1874084472656,139.44000244140625,218.32000732421875,142.68756103515625
2020-09-08,109.74200439453125,194.63499450683594,76.166748046875,75.72584533691406,157.49200439453125,11.877415657043457,269.6805114746094,110.06999969482422,217.8000030517578,141.17477416992188
2020-09-09,114.11925506591797,202.9232635498047,77.38799285888672,76.90030670166016,163.4304962158203,12.677019119262695,272.2265319824219,122.09333038330078,219.6300048828125,143.68978881835938
2020-09-10,110.39373016357422,197.23768615722656,76.14835357666016,75.84761047363281,158.7554931640625,12.27497673034668,266.62725830078125,123.77999877929688,217.8000030517578,138.25311279296875
2020-09-11,108.94439697265625,195.95074462890625,75.58670806884766,75.336181640625,155.81100463867188,12.12816333770752,265.15533447265625,124.23999786376953,217.92999267578125,140.02120971679688
2020-09-14,112.21272277832031,197.2760772705078,75.51512908935547,74.99174499511719,155.14849853515625,12.833796501159668,264.6978454589844,139.8733367919922,219.94000244140625,140.88165283203125
2020-09-15,112.38780975341797,200.51266479492188,76.6165771484375,76.29840850830078,157.80650329589844,12.95219612121582,270.93365478515625,149.9199981689453,218.94000244140625,141.9027862548828
2020-09-16,109.07088470458984,196.93035888671875,75.59564971923828,75.15377044677734,153.90499877929688,12.477116584777832,262.0821838378906,147.25332641601562,219.58999633789062,142.73484802246094
2020-09-17,107.32967376708984,194.87506103515625,74.33464050292969,73.90874481201172,150.43649291992188,12.426271438598633,253.4296875,141.14332580566406,218.0500030517578,144.16256713867188
2020-09-18,103.92516326904297,192.45486450195312,72.56814575195312,72.12196350097656,147.74549865722656,12.152841567993164,251.15216064453125,147.38333129882812,218.2100067138672,145.76995849609375
2020-09-21,107.07678985595703,194.5197296142578,71.1351547241211,71.08070373535156,148.02349853515625,12.4798583984375,246.79605102539062,149.79666137695312,213.02000427246094,142.94281005859375
2020-09-22,108.75958251953125,199.20648193359375,72.84003448486328,72.55585479736328,156.44949340820312,12.599998474121094,253.36004638671875,141.41000366210938,214.16000366210938,141.6947784423828
2020-09-23,104.19752502441406,192.64695739746094,70.34237670898438,70.04939270019531,149.9929962158203,12.087532997131348,247.66134643554688,126.78666687011719,209.61000061035156,141.64749145507812
2020-09-24,105.26751708984375,195.14404296875,70.99250793457031,70.71887969970703,150.989501953125,12.311112403869629,248.1685333251953,129.26333618164062,208.72000122070312,140.7019805908203
2020-09-25,109.21674346923828,199.59068298339844,71.82108306884766,71.52405548095703,154.75650024414062,12.835295677185059,253.4296875,135.77999877929688,210.4499969482422,142.07298278808594
2020-09-28,111.8236312866211,201.146484375,72.79330444335938,72.49819946289062,158.70249938964844,12.996062278747559,255.41879272460938,140.39999389648438,213.5399932861328,140.03065490722656
2020-09-29,110.97737884521484,199.05284118652344,73.03237915039062,72.864013671875,157.24400329589844,13.18624496459961,260.3616638183594,139.69000244140625,210.44000244140625,138.2908935546875
2020-09-30,112.65045928955078,202.0012969970703,73.04580688476562,72.8431396484375,157.43649291992188,13.490081787109375,260.4710388183594,143.00332641601562,212.94000244140625,139.9550323486328
2020-10-01,113.60371398925781,204.04693603515625,74.06424713134766,73.95148468017578,161.06300354003906,13.573832511901855,265.17523193359375,149.3866729736328,212.02000427246094,136.42823791503906
